car,move
B,1
M,2
E,1
S,-7
T,-1
U,-1
S,6
P,1
M,-1
S,-6
G,-1
S,1
P,-1
G,1
A,-1
F,-1
P,1
E,-1
G,-3
D,2
C,-1
H,-2
K,1
S,-1
M,1
D,3
G,4
S,6
E,4
I,-1
E,-3
I,1
C,-1
S,-4
C,1
G,-1
S,4
F,1
A,5
F,-1
H,2
B,-1
A,1
H,-1
S,-6
A,-1
S,6
J,-1
G,-1
J,1
I,-2
X,-1
G,1
E,2
N,-5
X,1
L,1
E,-2
I,3
E,-1
J,-1
I,-1
E,1
J,1
Q,-1
C,-1
R,-1
O,1
J,1
X,6
