car,move
T,-6
K,-4
G,-4
S,-3
Q,-2
U,-2
L,2
M,-3
V,-2
J,-1
L,-2
R,-3
N,2
X,-2
H,2
I,-5
C,2
D,-1
P,-4
O,1
H,3
X,3
