car,move
AG,-1
AL,-1
AB,-1
U,-1
F,1
C,-1
T,-2
AF,-1
AD,-1
AR,1
AL,1
B,-1
Q,-1
AK,1
AD,1
U,1
AB,1
N,1
X,2
AQ,-2
R,1
AQ,2
K,1
AF,1
K,-1
B,1
E,1
AF,-1
Q,1
R,-1
AL,-1
AN,-1
Q,-1
AL,1
AQ,-2
AL,-1
E,-1
AB,-1
AQ,2
X,-3
P,1
AB,1
AM,-1
W,-1
V,1
N,-1
AK,-1
AO,-2
AR,-1
AO,2
T,2
AM,2
U,-1
X,1
AH,1
T,-2
V,-1
AI,-3
V,1
AG,1
AM,-1
Q,1
AN,1
K,1
U,1
K,-1
B,-1
AF,1
K,1
AB,-1
AF,-1
AC,2
F,-1
Q,-1
AG,-2
AQ,-1
B,1
Q,1
AQ,1
K,-1
V,-1
N,1
G,1
A,1
AG,2
B,-1
AC,-2
AA,-1
AN,-1
AD,-1
AI,3
AO,-1
H,-1
B,1
W,1
C,1
AD,1
A,-1
AI,-3
P,-1
X,2
AB,1
A,1
L,-1
AI,3
R,1
C,-1
X,-2
Q,-1
L,1
AI,-3
X,2
B,-1
AA,1
X,-3
AR,1
R,-1
L,-1
J,-4
AB,-1
AR,-1
AI,3
W,-1
AR,1
AG,-1
AD,-1
R,1
T,2
H,1
AO,1
AH,-2
B,1
W,1
AG,1
AM,1
AR,-1
AG,-1
W,-1
AQ,-2
AR,1
H,-1
M,1
AR,-1
AH,2
P,2
AD,1
R,1
AQ,2
AM,-1
AB,1
AR,1
A,-2
H,1
AN,1
AB,-1
H,-1
J,2
AG,1
W,1
AE,2
AB,1
AD,2
AD,-3
P,-2
W,1
G,-1
J,2
E,1
AH,-2
A,1
AE,-1
AR,-1
AG,-1
R,-2
AR,1
W,-2
AQ,-2
L,1
H,1
W,2
AQ,2
M,-1
AR,-1
AL,1
F,1
S,1
AH,1
S,-1
AL,-1
R,1
X,2
AG,1
AH,-1
X,-2
K,1
M,1
X,2
M,-1
F,-1
X,-2
AA,-1
AL,1
AH,1
AB,-1
R,-1
W,-2
E,-1
K,-1
H,-1
L,-1
P,1
N,-1
W,2
S,1
M,2
AR,1
M,-2
AB,1
P,-1
M,2
B,-1
L,1
M,-2
AL,-1
B,1
H,1
AM,-1
AA,1
N,1
F,1
P,1
L,-1
AK,1
N,-1
B,-1
S,-1
J,-1
F,-1
AK,-1
AE,1
W,-2
AK,1
AB,-1
Y,-1
M,2
Y,1
AD,3
AH,-1
R,2
W,1
AK,-1
W,-1
V,1
B,1
A,-1
AK,1
H,-1
J,-3
H,1
A,1
P,-1
V,-1
AB,1
R,-2
V,1
AM,1
AK,-1
P,2
R,2
F,1
